artist_name,artist_id,genres,followers,popularity,img_url,external_url
Plini,3Gs10XJ4S4OEFrMRqZJcic,"['djent', 'instrumental math rock', 'instrumental rock', 'progressive jazz fusion']",312538,46,https://i.scdn.co/image/ab6761610000e5eb7db8f5ef63701ec561a2109c,https://open.spotify.com/artist/3Gs10XJ4S4OEFrMRqZJcic
Arch Echo,4ilweWzFHh6vrr7OOuDcUh,"['djent', 'instrumental rock', 'progressive jazz fusion']",56499,28,https://i.scdn.co/image/ab6761610000e5eb9b4602ff36c8f528e6cc26d4,https://open.spotify.com/artist/4ilweWzFHh6vrr7OOuDcUh
StarSystems,2JEmeK4NqHMXdtSMxCcWad,['instrumental progressive metal'],11502,16,https://i.scdn.co/image/ab6761610000e5eb51b70b839109b3b01d9f3ce7,https://open.spotify.com/artist/2JEmeK4NqHMXdtSMxCcWad
Intervals,0xpJGyjbEzkWSNfcf2tcMl,"['djent', 'instrumental djent', 'instrumental rock']",199283,44,https://i.scdn.co/image/ab6761610000e5eb00a456b082157f4bd1882f52,https://open.spotify.com/artist/0xpJGyjbEzkWSNfcf2tcMl
